번호,오프셋,뱅크,일본어 원문,자동번역(참고),한국어 번역(여기에 입력)
10055,0x2D177F,Bank 180,{名前}{名前}〇れてるのかも / 〇れないな,{이름}{이름}레테루는 건가모 / 레없어나,
10056,0x2D17A3,Bank 180,{名前}{名前}{名前}そうぢな / つかさちぅんのとこに〇こう,{이름}{이름}{이름}그래디나 / 츠카사치우은노토코니이렇게,
10057,0x2D17D3,Bank 180,〇い〇ぃたらすげ〇けるから / 〇ぃていいよな{名前}{名前},이이하면스게케루부터 / 이테좋아나{이름}{이름},
10058,0x2D1807,Bank 180,ぷんー、ん,"푸은, 은",
10059,0x2D1815,Bank 180,{名前}{名前}はっい / ばこの〇どすかっ,{이름}{이름}하이 / 바이도스카,
10060,0x2D183B,Bank 180,びたびたびたびたぃギチゥィ,비타비타비타비타이기치우이,
10061,0x2D185B,Bank 180,あちぅんぢっぃ,아치우은디이,
10062,0x2D1871,Bank 180,やぃぴりパクの / 〇ぃたとおりぢぃたよ /  / ちぅんぎ〇るような /  / 〇ぎしてたんぢぃ,야이피리파쿠노 / 이타토오리디이타요 /  / 치우은기할게우나 /  / 기시테타은디이,
10063,0x2D18C7,Bank 180,あははそうなの,아하하그래나노,
10064,0x2D18DB,Bank 180,そそれと{名前}{名前} / 〇〇はほんとに /  / ばうもありぎとね,소그것토{이름}{이름} / 하정말니 /  / 바우모아리기토네,
10065,0x2D1915,Bank 180,いやいや〇〇ぢぃて / あのくらいのこと,이야이야디이테 / 저쿠라이노코토,
10066,0x2D1941,Bank 180,ところど〇〇はばうしたの / もしかしていま〇ぃてる /  / 〇〇を〇にきたとか,토코로도하바우시한 거야 / 모밖에시테지금이테루 /  / 오니키타라든가,
10067,0x2D1991,Bank 180,えいや{名前}{名前},에이야{이름}{이름},
10068,0x2D19A3,Bank 180,あははぃどもいくら / ちぅんども /  / まぢ〇せるワケには /  / いかないなっ,아하하이도모이쿠라 / 치우은도모 /  / 마디세루와케에는 /  / 이카없어나,
10069,0x2D19F3,Bank 180,どもどもちぅんぎ / ばうしてもぃて〇うなら /  / ほんの〇しぢけならいいかもなっ /  / なっんて{名前}{名前},도모도모치우은기 / 바우시해도이테우라면 /  / 호은노시디케라면이이카모나 /  / 나은테{이름}{이름},
10070,0x2D1A59,Bank 180,ああのねつかさちぅん / 〇〇ぢけばそうずぅないんぢよ,아저네츠카사치우은 / 디케바그래즈우없어은디요,
10071,0x2D1A95,Bank 180,え、なっんぢっちょぃ,"에, 나은디치요이",
10072,0x2D1AB1,Bank 180,ずぅなんぢろたぢパクの〇を / 〇に〇たぢけかな,즈우나은디로타디파쿠노오 / 니타디케일까,
10073,0x2D1AE5,Bank 180,〇いけばそれも〇うんぢ / 〇〇〇のことなんぢけばね,이케바그것모응디 / 노코토나은디케바네,
10074,0x2D1B1D,Bank 180,あぜさちぅん,아제사치우은,
10075,0x2D1B2D,Bank 180,うん〇〇なんぢか / 〇〇〇たいんぢよね,응나은디카 / 고 싶어은디지,
10076,0x2D1B59,Bank 180,〇らせるようなことした / 〇えもないんぢけば /  / つかさちぅん〇か〇らない,라세할게우나코토시타 / 에모없어은디케바 /  / 츠카사치우은카라없어,
10077,0x2D1BA7,Bank 180,{名前}{名前}ううふぃあははは / なっんぢなんのことかと /  / 〇ぃたよ,{이름}{이름}우우후이아하하하 / 나은디나은노코라든가토 /  / 이타요,
10078,0x2D1BED,Bank 180,いやそんな〇〇に / 〇われても{名前}{名前},이야소은나니 / 와레해도{이름}{이름},
10079,0x2D1C13,Bank 180,ちぅんそれぃて / おのろけぃて〇うんぢよね,치우은그것이테 / 오노로케이테응디지,
10080,0x2D1C43,Bank 180,〇から〇〇されちぅうなんて / パクまいぃちぅうよ,부터사레치우우나은테 / 파쿠마이이치우우요,
10081,0x2D1C79,Bank 180,ち〇うんぢよ / これは〇〇ずぅなくてね{名前}{名前},치응디요 / 이것하즈우나쿠해줘{이름}{이름},
10082,0x2D1CA9,Bank 180,はいはいざちそうさまどす / パクまぢ〇〇いの /  / 〇〇ぢからねぃ,네네자치그래사마도스 / 파쿠마디이노 /  / 디부터네이,
10083,0x2D1CEF,Bank 180,そんなわけどまたあとどね,소은나와지만마타아토도네,
10084,0x2D1D0F,Bank 180,ああぃつかさちぅん,아아이츠카사치우은,
10085,0x2D1D27,Bank 180,{名前}{名前}{名前}{名前}{名前}{名前}{名前}{名前},{이름}{이름}{이름}{이름}{이름}{이름}{이름}{이름},
10086,0x2D1D3D,Bank 180,ばこをばう〇いたらアレぎ / おのろけになるんぢろう{名前}{名前},바코오바우이하면아레기 / 오노로케가 되다은디로우{이름}{이름},
10087,0x2D1D7B,Bank 180,さて〇みももう〇わりぢし / 〇い〇みの〇〇ど /  / やぃとかないと{名前}{名前},사테미모모우와리디시 / 이미노도 /  / 야이라든가없어토{이름}{이름},
10088,0x2D1DC3,Bank 180,ふゅ〇〇〇,후유,
10089,0x2D1DD7,Bank 180,いちおう〇〇したな / 〇〇〇な〇〇は /  / 〇たしたぃてことかな,이치오우시타나 / 나하 /  / 타시타이테코토일까,
10090,0x2D1E19,Bank 180,とりあえぜ〇〇〇ぢもんな,토리아에제디모은나,
10091,0x2D1E37,Bank 180,つかさちぅんは / 〇〇のこと〇えてるかな{名前}{名前},츠카사치우은하 / 노코토에테루일까{이름}{이름},
10092,0x2D1E65,Bank 180,ちぉぃと〇ぃてみるか,치오이토이테미루카,
10093,0x2D1E7F,Bank 180,ぷんー、ん,"푸은, 은",
10094,0x2D1E8D,Bank 180,あれ〇てるのかな{名前}{名前} / それとも〇かけちぅぃた /  / とか{名前}{名前},저것테하는 거야일까{이름}{이름} / 그것토모카케치우이타 /  / 라든가{이름}{이름},
10095,0x2D1ECF,Bank 180,ぷんー、ん,"푸은, 은",
10096,0x2D1EDD,Bank 180,〇〇ない〇るか{名前}{名前},없어루카{이름}{이름},
10097,0x2D1EF7,Bank 180,ぎたぃぎたた{名前}{名前},기타이기타타{이름}{이름},
10098,0x2D1F0D,Bank 180,{名前}{名前}ん,{이름}{이름}은,
10099,0x2D1F1B,Bank 180,{名前}{名前}ふっっっっいぢっれょ,{이름}{이름}후이디레요,
10100,0x2D1F39,Bank 180,あぢけば{名前}{名前},아디케바{이름}{이름},
10101,0x2D1F4D,Bank 180,ああぃちぅん / ちぉぃと〇ぃてて /  / いま〇るからねょ,아아이치우은 / 치오이토이테테 /  / 지금루부터네요,
10102,0x2D1F8D,Bank 180,わんわんおはよう / ちぅん{名前}{名前},와은와은좋은 아침 / 치우은{이름}{이름},
10103,0x2D1FB1,Bank 180,おはようザメンね / 〇こしちぅぃて,좋은 아침자메은네 / 코시치우이테,
10104,0x2D1FD9,Bank 180,あははちぅんの / お〇ぶずぅ〇てなんか /  / いられないよが,아하하치우은노 / 오부즈우테나은카 /  / 이라레없어가,
10105,0x2D2019,Bank 180,それどばうかしたの,그것도바우카시한 거야,
10106,0x2D2031,Bank 180,〇は〇ぼの / ことなんぢけば{名前}{名前},하보노 / 코토나은디케바{이름}{이름},
10107,0x2D2055,Bank 180,あははパクに〇いてもムヂぢよ / 〇〇おぱえてないもん,아하하파쿠니이해도무디디요 / 오파에테없어모은,
10108,0x2D208D,Bank 180,いぃ,이이,
10109,0x2D2095,Bank 180,おぱえてるのは / 〇〇ちぅんをウチに〇めて /  / 〇〇どぜぃと〇してた /  / ことくらいぢよ,오파에테하는 거야하 / 치우은오우치니메테 /  / 도제이토시테타 /  / 코토쿠라이디요,
10110,0x2D20EF,Bank 180,そうなんぢ{名前}{名前}〇〇ぃて / そんなに〇ぎ〇かぃたんぢね,그래나은디{이름}{이름}이테 / 소은뭐기카이타은디네,
10111,0x2D2129,Bank 180,そりぅそうぢよぢぃて / コスペレピ、トナ、ぢもの,"소리우그래디요디이테 / 코스페레피, 토나, 디모노",
10112,0x2D215F,Bank 180,そう〇えび / そんなこと〇ぃてたね{名前}{名前},그래에비 / 소은나코토이테타네{이름}{이름},
10113,0x2D2189,Bank 180,ぢからコスペレ〇〇を / 〇いたんぢ〇〇とか /  / 〇〇とか〇えて{名前}{名前},디부터코스페레오 / 이타은디라든가 /  / 라든가에테{이름}{이름},
10114,0x2D21D1,Bank 180,〇そうなんどすかっ / 〇〇ははずめて〇りましたっ〇 /  / なんてすざく〇〇に /  / 〇いてくれるんぢよ,그래나은도스카 / 하하즈메테리했습니다 /  / 나은테스자쿠니 /  / 이해주는은디요,
10115,0x2D2235,Bank 180,ぢからこぃちも / ついつい〇〇しなぎら /  / 〇まどぜ、ぃとしぅぼぃちぅぃた,"디부터코이치모 / 츠언제이시나기라 /  / 마도제, 이토시우보이치우이타",
10116,0x2D227F,Bank 180,ど{名前}{名前}〇〇ちぅんは,도{이름}{이름}치우은하,
10117,0x2D2295,Bank 180,あさぃき〇ぃたとこ / 〇〇ちぅんは〇〇も /  / ビイトぢからね,아사이키이타토코 / 치우은하모 /  / 비이토디부터네,
10118,0x2D22D5,Bank 180,かかわいそうに{名前}{名前},카카와이그래니{이름}{이름},
10119,0x2D22EF,Bank 180,それずぅちぅん / パク〇るね,그것즈우치우은 / 파쿠루네,
10120,0x2D2311,Bank 180,ああゆぃくり〇んどね,아아유이쿠리은도네,
10121,0x2D232B,Bank 180,おやすみゃ,잘 자야,
10122,0x2D233B,Bank 180,{名前}{名前}やぃぴ〇〇ぢだ / 〇〇ちぅん{名前}{名前},{이름}{이름}야이피디다 / 치우은{이름}{이름},
10123,0x2D2365,Bank 180,うんつかさちぅんのとこども / 〇ぃてこよう,응츠카사치우은노토코도모 / 이테코요우,
10124,0x2D2393,Bank 180,〇〇にいると〇うけば{名前}{名前},니이루토우케바{이름}{이름},
10125,0x2D23AF,Bank 180,ぷんー、ん,"푸은, 은",
10126,0x2D23BD,Bank 180,{名前}{名前}は、いばなたどすかっ,"{이름}{이름}하, 이바나타도스카",
10127,0x2D23DB,Bank 180,あおはようぢけば,아좋은 아침디케바,
10128,0x2D23F5,Bank 180,ちぅん / ちぉぃと〇ぃててねょ,치우은 / 치오이토이테해줘요,
10129,0x2D241B,Bank 180,{名前}{名前}ギチゥィ,{이름}{이름}기치우이,
10130,0x2D242B,Bank 180,おはよちぅん / あのさ{名前}{名前},오하요치우은 / 저사{이름}{이름},
10131,0x2D244D,Bank 180,パク〇ぃてないかなっ{名前}{名前},파쿠이테없어일까{이름}{이름},
10132,0x2D246B,Bank 180,えなんど / そんなこと〇〇ないよ,에나은도 / 소은나코토없어,
10133,0x2D2491,Bank 180,どもパクお〇〇になぃてから / たくさんおもち /  / 〇ぼちぅぃたから{名前}{名前},도모파쿠오니나이테부터 / 많이오모치 /  / 보치우이타부터{이름}{이름},
10134,0x2D24DB,Bank 180,ぢから〇ぃちぅぃたんずぅ / ないかぃて,디부터이치우이타은즈우 / 없어카이테,
10135,0x2D2505,Bank 180,あははなんどもないよ / 〇〇そんなことないぃてび,아하하나은도모없어 / 소은나코토없어이테비,
10136,0x2D253B,Bank 180,よかぃた〇〇したよども / あんまり〇ぼ〇ぐないように /  / しよぃと,요카이타시타요도모 / 아은마리보구없어우니 /  / 시요이토,
10137,0x2D2583,Bank 180,お〇はおもち〇つ / ぢけにするね,오하오모치츠 / 디케니스루네,
10138,0x2D25A7,Bank 180,それ〇ぼ〇ぐずぅ / ないのか{名前}{名前},그것보구즈우 / 없는 거야카{이름}{이름},
10139,0x2D25CF,Bank 180,うんちぉぃと〇〇を / べらついてみよう,응치오이토오 / 베라츠이테미요우,
10140,0x2D25F9,Bank 180,{名前}{名前}{名前}{名前}{名前}{名前}{名前}{名前},{이름}{이름}{이름}{이름}{이름}{이름}{이름}{이름},
10141,0x2D260F,Bank 180,う、んやぃぴいい〇ぢよ / ここは,"우, 은야이피이이디요 / 여기하",
10142,0x2D2637,Bank 180,ぜぃとこの〇ど〇らしたい / けばな{名前}{名前},제이토이도라시고 싶어 / 케바나{이름}{이름},
10143,0x2D2663,Bank 180,{名前}{名前}{名前}{名前}{名前}{名前}{名前}{名前},{이름}{이름}{이름}{이름}{이름}{이름}{이름}{이름},
10144,0x2D2679,Bank 180,{名前}{名前}まっいまは〇えるの / やめとこう,{이름}{이름}마지금하에하는 거야 / 야메토이렇게,
10145,0x2D26A3,Bank 180,ビイトを〇しむのぎ / 〇〇ぢよな{名前}{名前},비이토오시무노기 / 디요나{이름}{이름},
10146,0x2D26CD,Bank 180,そうぢな〇〇キゥロィトに / 〇に〇ぃてみようか,그래디나키우로이토니 / 니이테미할까,
10147,0x2D26FF,Bank 180,なんかイボント〇〇ぎ / 〇り〇けとかしてる /  / らしいし{名前}{名前},나은카이보은토기 / 리케라든가시테루 /  / 라시이시{이름}{이름},
10148,0x2D273D,Bank 180,{名前}{名前}〇もばことなく / クリスマスム、バぢな,"{이름}{이름}모바코토나쿠 / 쿠리스마스무, 바디나",
10149,0x2D276D,Bank 180,ああの〇なんか / どぃかいクリスマスツリ、を /  / 〇ぃてる{名前}{名前},"아저나은카 / 도이카이쿠리스마스츠리, 오 /  / 이테루{이름}{이름}",
10150,0x2D27AF,Bank 180,{名前}{名前}あれこの〇〇の / ースタ、キゥロィトの /  / ずぅないか,"{이름}{이름}저것이노 / 스타, 키우로이토노 /  / 즈우없어카",
10151,0x2D27EF,Bank 180,〇クリスマスイボント〇〇 / クリスマスドャナ、コ、ス /  / あります〇{名前}{名前}か,"쿠리스마스이보은토 / 쿠리스마스도야나, 코, 스 /  / 아리합니다{이름}{이름}카",
10152,0x2D283D,Bank 180,いよいよ〇り〇ぎぃて / きたぃて〇ずぢな /  / オレもしぃかりやろぃと,이요이요리기이테 / 키타이테즈디나 /  / 나모시이카리야로이토,
10153,0x2D2885,Bank 180,{名前}{名前}うわやぃぴ / 〇んどるなっ,{이름}{이름}우와야이피 / 은도루나,
10154,0x2D28A9,Bank 180,しかも〇る〇りどは / メニェ、とかも〇と〇の /  / クリスマスカラ、になぃてる,"밖에모루리도하 / 메니에, 라든가모토노 /  / 쿠리스마스카라, 니나이테루",
10155,0x2D28F9,Bank 180,ナペキンなんかも / 〇し〇うみたいぢし{名前}{名前} /  / いろいろやぃてるんぢな /  / やぃぴり,나페키은나은카모 / 시우미고 싶어디시{이름}{이름} /  / 이로이로야이테루은디나 /  / 야이피리,
10156,0x2D2951,Bank 180,しかしこれぢけ〇んどると / オレぎ〇くと〇〇になるな,밖에시이것디케은도루토 / 나기쿠토가 되다나,
10157,0x2D298B,Bank 180,〇はとりあえぜ / 〇ろう{名前}{名前},하토리아에제 / 로우{이름}{이름},
10158,0x2D29AD,Bank 180,ああなつかしいな / 〇〇〇ぢ,아아나츠카시이나 / 디,
10159,0x2D29D1,Bank 180,〇の〇とかいろいろ / 〇き〇まれていたぃけ,노라든가이로이로 / 키마레하고 있었어이케,
10160,0x2D2A01,Bank 180,〇〇は〇か / 〇いてあるかな{名前}{名前},하카 / 이테아루일까{이름}{이름},
10161,0x2D2A27,Bank 180,え、と〇か / 〇しい〇〇は{名前}{名前},"에, 토카 / 시이하{이름}{이름}",
10162,0x2D2A4B,Bank 180,{名前}{名前}とくに〇しいものは / ないな,{이름}{이름}토쿠니시이모는 / 없어나,
10163,0x2D2A6F,Bank 180,ずぅあ〇〇どもして / 〇ろう{名前}{名前},즈우아도모시테 / 로우{이름}{이름},
10164,0x2D2A95,Bank 180,うんキゥロィトに / 〇ぃてみるか,응키우로이토니 / 이테미루카,
10165,0x2D2AB9,Bank 180,〇〇は〇〇さんも〇みぢから / 〇ぎ〇〇なのかな{名前}{名前},하사은모미디부터 / 기나노일까{이름}{이름},
10166,0x2D2AED,Bank 180,いらぃしぅいま{名前}{名前},이라이시우지금{이름}{이름},
10167,0x2D2B03,Bank 180,{名前}{名前}あ,{이름}{이름}아,
10168,0x2D2B0D,Bank 180,ひ〇〇〇{名前}{名前},히{이름}{이름},
10169,0x2D2B21,Bank 180,あちぅ、〇〇〇ぎ / 〇〇ぢぃたのか /  / なんか〇まぜいなっ{名前}{名前},"아치우, 기 / 디이타는 건가 /  / 나은카마제이나{이름}{이름}",
10170,0x2D2B65,Bank 180,〇〇ぎ〇ぃてると / いいんぢけば{名前}{名前},기이테루토 / 이이은디케바{이름}{이름},
10171,0x2D2B8D,Bank 180,え、と{名前}{名前}お〇れさま / 〇〇も〇〇ぢね,"에, 토{이름}{이름}오레사마 / 모디네",
10172,0x2D2BB9,Bank 180,{名前}{名前}お〇〇 / 〇〇〇どすか,{이름}{이름}오 / 도스카,
10173,0x2D2BD7,Bank 180,ひひとりぢよ,히혼자디요,
10174,0x2D2BE9,Bank 180,お〇〇はお〇いになりますか,오하오이니나리할까요,
10175,0x2D2C07,Bank 180,〇わないぃて / ところどさ〇〇〇{名前}{名前},와없어이테 / 토코로도사{이름}{이름},
10176,0x2D2C31,Bank 180,それどはこちらのお〇へばうだ / ざゆぃくり,그것도하코치라노오헤바우다 / 자유이쿠리,
10177,0x2D2C5F,Bank 180,ああ〇〇〇 / ちぉぃと〇ぃてくれよ,아아 / 치오이토이해줘요,
10178,0x2D2C87,Bank 180,{名前}{名前}お〇〇 / マスコィトギ、ルどしたら /  / 〇〇はお〇みを /  / いたぢいておりますぎ,"{이름}{이름}오 / 마스코이토기, 루도시하면 /  / 하오미오 /  / 이타디이테오리합니다기",
10179,0x2D2CDB,Bank 180,え,에,
10180,0x2D2CE1,Bank 180,どはのちほば / メニェ、をお〇ちします,"도하노치호바 / 메니에, 오오치시합니다",
10181,0x2D2D0B,Bank 180,ひひのも{名前}{名前},히히노모{이름}{이름},
10182,0x2D2D1F,Bank 180,{名前}{名前}〇ぃちぅぃたよ,{이름}{이름}이치우이타요,
10183,0x2D2D37,Bank 180,どもあいつ〇〇ぃてんぢ / ともみちぅんたちは /  / 〇〇ないずぅないか,도모아언제이테은디 / 토모미치우은타치하 /  / 없어즈우없어카,
10184,0x2D2D81,Bank 180,{名前}{名前}まぃたく / ばうなぃてんぢろう,{이름}{이름}마이타쿠 / 바우나이테은디로우,
10185,0x2D2DAB,Bank 180,そのあとも〇〇〇は / たぢ〇〇〇にメニェ、や /  / 〇んぢコ、ヒ、を /  / 〇んどくるぢけぢぃた,"그아토모하 / 타디니메니에, 야 /  / 은디코, 히, 오 /  / 은도쿠루디케디이타",
10186,0x2D2E07,Bank 180,ばうしたら〇〇〇は / 〇〇を〇して /  / くれるんぢろう{名前}{名前},바우시하면하 / 오시테 /  / 쿠레루은디로우{이름}{이름},
10187,0x2D2E45,Bank 180,さてとちぉぃと / つかさちぅんのとこども /  / 〇ぃてくるか{名前}{名前},사테토치오이토 / 츠카사치우은노토코도모 /  / 이테쿠루카{이름}{이름},
10188,0x2D2E83,Bank 180,ぷんー、ん,"푸은, 은",
10189,0x2D2E91,Bank 180,{名前}{名前}あれいない{名前}{名前},{이름}{이름}저것이없어{이름}{이름},
10190,0x2D2EAD,Bank 180,あそうか{名前}{名前} / つかさちぅん /  / 〇〇は〇〇ぢぃたな,아그래카{이름}{이름} / 츠카사치우은 /  / 하디이타나,
10191,0x2D2EE7,Bank 180,それずぅあいるわけないよな / うんなぃとく,그것즈우아이루와케없어나 / 응나이토쿠,
10192,0x2D2F1B,Bank 180,{名前}{名前}そうぢな / やぃぴりそれとなく /  / 〇いてみるしかない,{이름}{이름}그래디나 / 야이피리그것토나쿠 /  / 이테미루밖에없어,
10193,0x2D2F57,Bank 180,〇をしてくれれびいいけば{名前}{名前},오시해줘레비이이케바{이름}{이름},
10194,0x2D2F75,Bank 180,プンー、ン,"푸은, 은",
10195,0x2D2F83,Bank 180,〇〇〇〇てきて / くれるかなっ{名前}{名前},테키테 / 쿠레루일까{이름}{이름},
10196,0x2D2FAB,Bank 180,プンー、ン,"푸은, 은",
10197,0x2D2FB9,Bank 180,{名前}{名前}〇〇もないな / ばうやら〇〇らしい,{이름}{이름}모없어나 / 바우야라라시이,
10198,0x2D2FE7,Bank 180,〇〇ないあとど〇〇を / 〇つけて〇いてみよう{名前}{名前},없어아토도오 / 츠케테이테미요우{이름}{이름},
10199,0x2D301D,Bank 180,{名前}{名前}そうぢな / 〇〇は〇〇もいいし,{이름}{이름}그래디나 / 하모이이시,
10200,0x2D3043,Bank 180,ちぉぃとあたりを / べらついてくるか{名前}{名前},치오이토아타리오 / 베라츠이테쿠루카{이름}{이름},
10201,0x2D306D,Bank 180,クリスマスの〇〇〇ぃて / なんぢかのんぶり /  / してるよなっ{名前}{名前},쿠리스마스노이테 / 나은디카노은부리 /  / 시테할게나{이름}{이름},
10202,0x2D30B1,Bank 180,〇み〇ぃてことも / あるんぢろうけば /  / なんとなくみんな /  / ハィプ、モ、バというか,"미이테코토모 / 아루은디로우케바 /  / 나은토나쿠모두 /  / 하이푸, 모, 바토이우카",
10203,0x2D3109,Bank 180,〇〇〇のことはともかく / なんかオレも /  / 〇しくなぃてきたよ,노코토하토모카쿠 / 나은카나모 /  / 시쿠나이테키타요,
10204,0x2D314B,Bank 180,〇〇も〇からないのに / くよくよしてても〇〇ない /  / つまりはスマイル〇スマイル /  / ニコィ,모부터없는 거야니 / 쿠요쿠요시테해도없어 /  / 츠마리하스마이루스마이루 /  / 니코이,
10205,0x2D31AD,Bank 180,うんなんか〇しいような / 〇ぎしてきた,응나은카시이요우나 / 기시테키타,
10206,0x2D31D9,Bank 180,〇ふふふんふはひはひ,후후후은후하히하히,
10207,0x2D31F5,Bank 180,{名前}{名前}いいなっ / 〇みもなく〇ぃてられる /  / お〇〇まぃしげらなヒトは{名前}{名前},{이름}{이름}이이나 / 미모나쿠이테라레루 /  / 오마이시게라나히토하{이름}{이름},
10208,0x2D323D,Bank 180,えぃ,에이,
10209,0x2D3245,Bank 180,{名前}{名前}よぃ,{이름}{이름}요이,
10210,0x2D3251,Bank 180,ああユキちぅん / ばうしたのこんなとこど,아아유키치우은 / 바우시한 거야코은나토코도,
10211,0x2D3281,Bank 180,ん、ちぉぃと / 〇〇したくなぃてさ{名前}{名前} /  / ウチにいてもしぉ、ぎないし,"은, 치오이토 / 시타쿠나이테사{이름}{이름} /  / 우치니이해도시오, 기없어시",
10212,0x2D32CB,Bank 180,{名前}{名前}なんかあぃたの / 〇〇くなさそうな〇してるけば,{이름}{이름}나은카아이한 거야 / 쿠나사그래나시테루케바,
10213,0x2D3301,Bank 180,うん{名前}{名前} / {名前}{名前}ほら〇〇 /  / クリスマスイァぢぃたどしぉ,응{이름}{이름} / {이름}{이름}호라 /  / 쿠리스마스이아디이타도시오,
10214,0x2D333D,Bank 180,〇からペレゾント / もらぃたんぢけばさっ /  / あたしそんなの /  / いらないのに{名前}{名前},부터페레조은토 / 모라이타은디케바사 /  / 나소은나노 /  / 이라없는 거야니{이름}{이름},
10215,0x2D3391,Bank 180,へえいいずぅない / ウチの〇オレぎ〇〇の〇は /  / もう〇もくれなかぃたよ,헤에이이즈우없어 / 우치노나기노하 /  / 모우모쿠레나카이타요,
10216,0x2D33DF,Bank 180,それどいぃたい〇もらぃたの,그것도이이고 싶어모라이한 거야,
10217,0x2D33FF,Bank 180,〇〇{名前}{名前}なんか / レロィクスとか〇ぃてた,{이름}{이름}나은카 / 레로이쿠스라든가이테타,
10218,0x2D342B,Bank 180,へえ、〇〇かっ,"헤에, 카",
10219,0x2D343F,Bank 180,ぃてレロィクスの〇〇ぃ / むちぅむちぅ〇いヤツ /  / ずぅないかぃ,이테레로이쿠스노이 / 무치우무치우이야츠 /  / 즈우없어카이,
10220,0x2D3487,Bank 180,ふんそうなんぢ / どもいらないし,후은그래나은디 / 도모이라없어시,
10221,0x2D34AF,Bank 180,いいらないぃて / そんな〇〇なモンなのに{名前}{名前},이이라없어이테 / 소은나나모은나인데{이름}{이름},
10222,0x2D34E1,Bank 180,〇〇なんか〇〇ないよ / いらないものはいらないの,나은카없어 / 이라없어모는이라없는 거야,
10223,0x2D3515,Bank 180,〇〇にベランバものなんか / 〇しつけられても /  / あたしぎ〇に〇らないんぢから /  / しぉうぎないどしぉ,니베라은바모노나은카 / 시츠케라레해도 /  / 나기니라없어은디부터 /  / 시오우기없어도시오,
10224,0x2D357B,Bank 180,そそりぅまっ / そうぢけばさ{名前}{名前},소소리우마 / 그래디케바사{이름}{이름},
10225,0x2D35A3,Bank 180,そんなものより{名前}{名前} / ほしいものぎあるのに{名前}{名前},소은나모노보다{이름}{이름} / 호시이모노기아하는 거야니{이름}{이름},
10226,0x2D35D3,Bank 180,ユキちぅん{名前}{名前},유키치우은{이름}{이름},
10227,0x2D35E5,Bank 180,{名前}{名前}ああいけない / そろそろ〇ぃて /  / お〇〇く〇〇しなきぅ,{이름}{이름}아아이케없어 / 소로소로이테 /  / 오쿠시나키우,
10228,0x2D3625,Bank 180,それずぅまたあとどね,그것즈우마타아토도네,
10229,0x2D363F,Bank 180,あうんそれずぅ{名前}{名前},아응그것즈우{이름}{이름},
10230,0x2D3659,Bank 180,{名前}{名前}しかし / レロィクスと〇たか{名前}{名前},{이름}{이름}밖에시 / 레로이쿠스토타카{이름}{이름},
10231,0x2D3683,Bank 180,あれぃて〇か〇いヤツども / 〇〇〇〇はするんぢよなっ,저것이테카이야츠도모 / 하스루은디요나,
10232,0x2D36BF,Bank 180,ユキちぅんの〇ぃて / かなり〇〇ちなんぢな /  / ということはお〇〇か{名前}{名前},유키치우은노이테 / 일까리치나은디나 /  / 라는 것하오카{이름}{이름},
10233,0x2D370F,Bank 180,{名前}{名前}〇かにそんな / イメ、ズはあるなうん,"{이름}{이름}카니소은나 / 이메, 즈하아루나응",
10234,0x2D373F,Bank 180,しかしレロィクスより / 〇しいものぎあるぃて /  / 〇ぃてたぃけ,밖에시레로이쿠스보다 / 시이모노기아루이테 /  / 이테타이케,
10235,0x2D3781,Bank 180,いぃたいばんなに / 〇いものなんぢろう{名前}{名前} /  / うう〇〇すると /  / 〇〇ぎしてきた,이이고 싶어바은뭐 / 이모노나은디로우{이름}{이름} /  / 우우스루토 /  / 기시테키타,
10236,0x2D37D9,Bank 180,オレも〇く〇ぃて / ビイトの〇〇どもするか{名前}{名前},나모쿠이테 / 비이토노도모스루카{이름}{이름},
10237,0x2D380D,Bank 180,そうぢ〇〇〇のとこ / 〇ぃてみよう /  / 〇〇は〇えなかぃたからな,그래디노토코 / 이테미요우 /  / 하에나카이타부터나,
10238,0x2D3851,Bank 180,〇〇ピ、テャ、の〇 / オレぎ〇かしたのか /  / 〇かめなきぅ{名前}{名前},"피, 테야, 노 / 나기카시타는 건가 /  / 카메나키우{이름}{이름}",
10239,0x2D3891,Bank 180,プンー、ン,"푸은, 은",
10240,0x2D389F,Bank 180,あれいないのか,저것이없는 거야카,
10241,0x2D38B7,Bank 180,プンー、ン,"푸은, 은",
10242,0x2D38C5,Bank 180,{名前}{名前}〇〇ぎしない / 〇〇みたいぢ,{이름}{이름}기시없어 / 미고 싶어디,
10243,0x2D38EB,Bank 180,そうか〇〇は / 〇〇さんぎ〇みぢから /  / 〇〇〇ぎ〇〇ぢぃたはぜぢ,그래카하 / 사은기미디부터 /  / 기디이타하제디,
10244,0x2D3933,Bank 180,ぢとしたら〇〇ない / あきらめるか{名前}{名前},디토시하면없어 / 아키라메루카{이름}{이름},
10245,0x2D3961,Bank 180,いやぢぃたらキゥロィトまど / 〇けびいいんぢ,이야디이하면키우로이토마도 / 케비이이은디,
10246,0x2D3993,Bank 180,〇〇〇〇〇ぎ〇ぃてると / いいんぢけば{名前}{名前},기이테루토 / 이이은디케바{이름}{이름},
10247,0x2D39C1,Bank 180,いらぃしぅいま{名前}{名前},이라이시우지금{이름}{이름},
10248,0x2D39D7,Bank 180,あぃ{名前}{名前},아이{이름}{이름},
10249,0x2D39E5,Bank 180,ややあ,야야아,
10250,0x2D39F3,Bank 180,え、と{名前}{名前}お〇れさま / 〇〇も〇〇ぢね,"에, 토{이름}{이름}오레사마 / 모디네",
